in:X Size,in:Y Size,in:U Divisions,in:V Divisions,out:displacement,out:Mass,img,threeD
12,11,3,3,1.354159,3992.978634,XSize12_YSize11_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize11_UDivisions3_VDivisions3.json
6,12,3,3,0.8506,3235.694542,XSize6_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize6_YSize12_UDivisions3_VDivisions3.json
7,12,3,3,0.913764,3377.782294,XSize7_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize7_YSize12_UDivisions3_VDivisions3.json
8,12,3,3,0.99333,3525.010621,XSize8_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize8_YSize12_UDivisions3_VDivisions3.json
9,12,3,3,1.091717,3676.913992,XSize9_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize9_YSize12_UDivisions3_VDivisions3.json
10,12,3,3,1.211239,3833.044054,XSize10_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize10_YSize12_UDivisions3_VDivisions3.json
11,12,3,3,1.354159,3992.978634,XSize11_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize11_YSize12_UDivisions3_VDivisions3.json
12,12,3,3,1.522721,4156.327081,XSize12_YSize12_UDivisions3_VDivisions3_Perspective.png,XSize12_YSize12_UDivisions3_VDivisions3.json
6,6,4,3,0.215429,2644.504188,XSize6_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize6_UDivisions4_VDivisions3.json
7,6,4,3,0.27093,2796.858601,XSize7_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize6_UDivisions4_VDivisions3.json
8,6,4,3,0.342345,2954.595017,XSize8_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize6_UDivisions4_VDivisions3.json
9,6,4,3,0.431993,3117.096767,XSize9_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize6_UDivisions4_VDivisions3.json
10,6,4,3,0.54471,3283.795492,XSize10_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize6_UDivisions4_VDivisions3.json
11,6,4,3,0.680354,3454.178345,XSize11_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize11_YSize6_UDivisions4_VDivisions3.json
12,6,4,3,0.840764,3627.789644,XSize12_YSize6_UDivisions4_VDivisions3_Perspective.png,XSize12_YSize6_UDivisions4_VDivisions3.json
6,7,4,3,0.26265,2857.306715,XSize6_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize6_YSize7_UDivisions4_VDivisions3.json
7,7,4,3,0.319499,3006.625117,XSize7_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize7_YSize7_UDivisions4_VDivisions3.json
8,7,4,3,0.392212,3161.227608,XSize8_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize8_YSize7_UDivisions4_VDivisions3.json
9,7,4,3,0.483143,3320.572596,XSize9_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize9_YSize7_UDivisions4_VDivisions3.json
10,7,4,3,0.594592,3484.149722,XSize10_YSize7_UDivisions4_VDivisions3_Perspective.png,XSize10_YSize7_UDivisions4_VDivisions3.json
